,title,word count,l1,l2,l3,l4,l5,l6,l7,l8
https://colorcodedlyrics.com/miss-a-misseu-ei-time-s-up,Time&#8217;s Up,342,0.134502924,0.207602339,0.30994152,0.383040936,0.406432749,0.444444444,0.464912281,0.476608187
https://colorcodedlyrics.com/miss-a-misseuei-if-i-were-a-boy,If I Were A Boy,174,0.051724138,0.103448276,0.132183908,0.166666667,0.189655172,0.25862069,0.25862069,0.327586207
https://colorcodedlyrics.com/miss-a-misseuei-ma-style,Ma Style,203,0.123152709,0.142857143,0.172413793,0.231527094,0.275862069,0.315270936,0.320197044,0.334975369
https://colorcodedlyrics.com/miss-a-misseuei-madness-feat-taecyeon-of-2pm,Madness feat. Taecyeon of 2PM,262,0.125954198,0.187022901,0.290076336,0.328244275,0.351145038,0.393129771,0.396946565,0.416030534
https://colorcodedlyrics.com/miss-a-misseuei-mr-johnny-cc-lyrics,Miss A (미쓰에이) &#8211; Mr. Johnny (CC Lyrics),134,0.067164179,0.119402985,0.194029851,0.26119403,0.28358209,0.313432836,0.335820896,0.335820896
https://colorcodedlyrics.com/miss-a-misseuei-one-to-ten-hanabuteo-yeolggaji-cc-lyrics,Miss A (미쓰에이) &#8211; One to Ten (하나부터 열까지) (CC Lyrics),362,0.121546961,0.14640884,0.209944751,0.237569061,0.284530387,0.361878453,0.383977901,0.392265193
https://colorcodedlyrics.com/miss-a-one-step-hangeoleum,한걸음,348,0.077586207,0.137931034,0.215517241,0.307471264,0.333333333,0.382183908,0.387931034,0.396551724
https://colorcodedlyrics.com/miss-a-only-you-daleun-namja-malgo-neo,다른 남자 말고 너,354,0.141242938,0.211864407,0.271186441,0.299435028,0.338983051,0.355932203,0.375706215,0.375706215
https://colorcodedlyrics.com/miss-a-over-u,Over U,312,0.169871795,0.221153846,0.278846154,0.326923077,0.342948718,0.394230769,0.400641026,0.400641026
https://colorcodedlyrics.com/miss-a-spotlight,Spotlight,319,0.131661442,0.200626959,0.26645768,0.307210031,0.34169279,0.373040752,0.388714734,0.423197492
https://colorcodedlyrics.com/miss-a-_-good-bye-baby-cc-lyrics,Miss A – Good-bye Baby (CC Lyrics),347,0.123919308,0.181556196,0.219020173,0.265129683,0.30259366,0.383285303,0.426512968,0.452449568
https://colorcodedlyrics.com/miss-good-night-anjago-mwohae,안자고 뭐해,529,0.141776938,0.196597353,0.223062382,0.268431002,0.321361059,0.387523629,0.419659735,0.43100189
https://colorcodedlyrics.com/miss-he-s-not-your-man-ni-namjaga-aniya,니 남자가 아니야,654,0.142201835,0.186544343,0.20795107,0.26146789,0.287461774,0.330275229,0.351681957,0.370030581
https://colorcodedlyrics.com/miss-just-let-me-live-nado-jom-salja-feat-skull,나도 좀 살자,710,0.138028169,0.184507042,0.26056338,0.309859155,0.332394366,0.402816901,0.418309859,0.443661972
https://colorcodedlyrics.com/miss-ladies-night-feat-kanto,Ladies&#8217; Night,438,0.171232877,0.246575342,0.333333333,0.383561644,0.401826484,0.417808219,0.452054795,0.456621005
https://colorcodedlyrics.com/miss-narr-verbal-jint-i-hope-it-s-not-you-niga-anieossgileul,니가 아니었기를,646,0.156346749,0.221362229,0.27244582,0.311145511,0.379256966,0.436532508,0.450464396,0.456656347
